 IPER  ISTEP  TLEN  IDB  ILYR  IROW  ICOL  NODE  THIK  HEAD  THETA  VK  SKE  SKV
 1          11         5.443161         1          1          1          2          6          0.52631575       44.999994        0.44999996       9.9999962e-05    1.1040095e-05    0.011040095     
 1          11         5.443161         1          1          1          2          7          0.52631579       45               0.45             9.9999999e-05    1.1027279e-05    0.011027279     
 1          11         5.443161         1          1          1          2          8          0.52631579       45               0.45             0.0001           1.1014494e-05    0.011014494     
 1          11         5.443161         1          1          1          2          9          0.52631579       45               0.45             0.0001           1.1001738e-05    0.011001738     
 1          11         5.443161         1          1          1          2          10         0.52631579       45               0.45             0.0001           1.0989012e-05    0.010989012     
 1          11         5.443161         1          1          1          2          11         0.52631579       45               0.45             0.0001           1.0976315e-05    0.010976315     
 1          11         5.443161         1          1          1          2          12         0.52631579       45               0.45             0.0001           1.0963648e-05    0.010963648     
 1          11         5.443161         1          1          1          2          13         0.52631579       45               0.45             9.9999998e-05    1.095101e-05     0.01095101      
 1          11         5.443161         1          1          1          2          14         0.52631575       44.999993        0.44999996       9.9999959e-05    1.0938401e-05    0.010938401     
 1          11         5.443161         1          1          1          2          15         0.52631491       44.999847        0.44999908       9.999905e-05     1.0925835e-05    0.010925835     
 1          11         5.443161         1          1          1          2          16         0.52629784       44.996875        0.44998124       9.9980676e-05    1.0913567e-05    0.010913567     
 1          11         5.443161         1          1          1          2          17         0.526006         44.946001        0.44967608       9.9666782e-05    1.0905887e-05    0.010905887     
 1          11         5.443161         1          1          1          2          18         0.52201726       44.249226        0.44547104       9.5432834e-05    1.0960053e-05    0.010960053     
 1          11         5.443161         1          1          1          2          19         0.47197856       35.399698        0.38668044       5.1023569e-05    1.1880608e-05    0.011880608     
 1          12         6.0984571        1          1          1          2          1          0.46789606       34.882575        0.38132908       4.8091487e-05    1.2215675e-05    0.012215675     
 1          12         6.0984571        1          1          1          2          2          0.52138462       44.154414        0.44479819       9.4770926e-05    1.1175522e-05    0.011175522     
 1          12         6.0984571        1          1          1          2          3          0.52592926       44.933704        0.44959578       9.9584329e-05    1.1085227e-05    0.011085227     
 1          12         6.0984571        1          1          1          2          4          0.52629147       44.995825        0.44997459       9.9973822e-05    1.1066222e-05    0.011066222     
 1          12         6.0984571        1          1          1          2          5          0.5263145        44.999777        0.44999865       9.9998606e-05    1.1052961e-05    0.011052961     
 1          12         6.0984571        1          1          1          2          6          0.52631573       44.99999         0.44999994       9.9999935e-05    1.1040095e-05    0.011040095     
 1          12         6.0984571        1          1          1          2          7          0.52631579       45               0.45             9.9999997e-05    1.1027279e-05    0.011027279     
 1          12         6.0984571        1          1          1          2          8          0.52631579       45               0.45             0.0001           1.1014494e-05    0.011014494     
 1          12         6.0984571        1          1          1          2          9          0.52631579       45               0.45             0.0001           1.1001738e-05    0.011001738     
 1          12         6.0984571        1          1          1          2          10         0.52631579       45               0.45             0.0001           1.0989012e-05    0.010989012     
 1          12         6.0984571        1          1          1          2          11         0.52631579       45               0.45             0.0001           1.0976316e-05    0.010976316     
 1          12         6.0984571        1          1          1          2          12         0.52631579       45               0.45             0.0001           1.0963648e-05    0.010963648     
 1          12         6.0984571        1          1          1          2          13         0.52631579       45               0.45             9.9999997e-05    1.095101e-05     0.01095101      
 1          12         6.0984571        1          1          1          2          14         0.52631572       44.999989        0.44999993       9.999993e-05     1.0938402e-05    0.010938402     
 1          12         6.0984571        1          1          1          2          15         0.52631441       44.99976         0.44999856       9.9998517e-05    1.0925844e-05    0.010925844     
 1          12         6.0984571        1          1          1          2          16         0.52629026       44.995555        0.44997332       9.9972516e-05    1.0913693e-05    0.010913693     
 1          12         6.0984571        1          1          1          2          17         0.5259162        44.930346        0.44958211       9.9570304e-05    1.0907379e-05    0.010907379     
 1          12         6.0984571        1          1          1          2          18         0.52130372       44.124478        0.44471203       9.4686475e-05    1.0972089e-05    0.010972089     
 1          12         6.0984571        1          1          1          2          19         0.46810262       34.707463        0.38160209       4.8237416e-05    1.1961408e-05    0.011961408     
 1          13         6.7865181        1          1          1          2          1          0.46413785       34.224103        0.37631959       4.5481429e-05    1.2296928e-05    0.012296928     
